num_page,Titre,SIREN,SIRET,Téléphone,Email,Qualifications, VEN, ANT,Maîtrise Qualité, SPV, EP, IRVE, CET, AC, CFMGTI, MGTI, CHE, CFLCPT, PAC, MIE, BR, LCPT,address,code_postal,ville,index_orig,effectif,capital,gerant,error
11,BERTIN ELECTRICITE,352357073,35235707300043,0614308705,secr@ste-bertin.com, LCPT &&  SPV &&  IRVE &&  MGTI,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,306 AVENUE DU CATEAU,59400,CAMBRAI,101,,,,False
11,DARSES BAPTISTE,793499336,79349933600014,0688472778,baptiste_darses@yahoo.fr, IRVE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14 RUE DE LA JONCHERE,63290,LIMONS,106,,,,False
11,FLORES IVAN,912302098,91230209800013,+33618293481,flores04elec@gmail.com, IRVE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6 DEPARTEMENTALE 4096 ROUTE DEPARTEMENTALE 4096,04160,CHATEAU-ARNOUX-SAINT-AUBAN,108,,,,False
12,IRD ELEC,791693682,79169368200019,0698908336,ird.elecgenerale@gmail.com, IRVE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8 IMPASSE IMPASSE DE LA PIERRE,27120,BOISSET-LES-PREVANCHES,111,,,,False
13,STRUCTURELEC,525067559,52506755900035,0782814132,arnaud@structurelec.fr, IRVE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4 QUA PEIRARD,83630,REGUSSE,123,,,,False
13,ROMAIN DAVIET,824349526,82434952600023,0607220868,romain@rde-electricite.com, IRVE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3376 DES BAUGES,74540,GRUFFY,126,,,,False
13,VOLTANIK,954083119,95408311900014,0646282162,contact@voltanik.fr, IRVE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,93 CHEMIN SUBERBIE,64360,MONEIN,128,,,,False
14,EIG,751911256,75191125600012,0614143826,eig20@hotmail.fr, IRVE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,RES FLEURS DES ILES LOT 3,20620,BIGUGLIA,133,,,,False
14,ELECTRICITÉ DANELUZZI PATRICK,444879332,44487933200021,0608674284,daneluzzielec@gmail.com, IRVE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,54 LOTISSEMENT LES PLATANES rue des grandes terres,69220,BELLEVILLE-EN-BEAUJOLAIS,135,,,,False
14,ECO EST ENERGIE,893946905,89394690500013,0670089340,contact@ecoestenergie.fr, IRVE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19 RUE DE TOMBLAINE,54000,NANCY,136,,,,"Message: no such element: Unable to locate element: {""method"":""xpath"",""selector"":""//*[@id=""result_deno_societe""]/div/div/a""}
  (Session info: chrome=122.0.6261.69); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
#0 0x56155e8c6793 <unknown>
#1 0x56155e5ba1c6 <unknown>
#2 0x56155e605358 <unknown>
#3 0x56155e605411 <unknown>
#4 0x56155e648934 <unknown>
#5 0x56155e6273fd <unknown>
#6 0x56155e645dd9 <unknown>
#7 0x56155e627173 <unknown>
#8 0x56155e5f82d3 <unknown>
#9 0x56155e5f8c9e <unknown>
#10 0x56155e88a8cb <unknown>
#11 0x56155e88e745 <unknown>
#12 0x56155e8772e1 <unknown>
#13 0x56155e88f2d2 <unknown>
#14 0x56155e85b17f <unknown>
#15 0x56155e8b4dc8 <unknown>
#16 0x56155e8b4fc3 <unknown>
#17 0x56155e8c5944 <unknown>
#18 0x7ff74d4e2ac3 <unknown>
"
15,ETELEC BAHI,918173592,91817359200026,07 51 06 19 50,bahi_omar@yahoo.fr, IRVE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6 RUE DE LA FONTENELLE,16230,PUYREAUX,140,,,,False
15,BRABANT ELECTRICITÉ,799649272,79964927200017,0664317162,brabantmat@gmail.com, IRVE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,55 AVENUE DU BEGUINAGE,59910,BONDUES,142,,,,False
15,RENOBAT04,838539385,83853938500024,0688300622,renobat04.benoit@gmail.com, IRVE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,L'AUBERGE NEUVE,04870,SAINT-MICHEL-L'OBSERVATOIRE,146,,,,False
16,TOUS-ELEC,922526728,92252672800014,0604534838,touselec88@gmail.com, IRVE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,98 ROUTE DE ST DIE,88470,NOMPATELIZE,150,,,,False
16,"EIRL YANN JEZEQUEL ""JEZELEC""",904003670,90400367000018,0686827399,jezelec49@gmail.com, IRVE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17 SQUARE RENE CHAR,49000,ANGERS,156,,,,False
16,MEFFRE ELECTRICITE,478662257,47866225700011,06.82.29.35.74,cyril.meffre@gmail.com, IRVE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9 IMPASSE DE BEAUREGARD LOT. LE BEAUREGARD,30230,BOUILLARGUES,158,,,,False
17,MANTELLI FREDDY,821087343,82108734300017,0783079191,f.mantelli@laposte.net, IRVE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,LE SERRE,05400,RABOU,160,,,,False
17,HERVÉ SAM,913746103,91374610300013,0678757094,hervesam75@gmail.com, IRVE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4 TER LA GARE,22450,CAMLEZ,166,,,,False
18,ANDRE GIACCHERINI,981288004,98128800400014,07 81 20 79 91,giaccheriniandreelec@gmail.com, IRVE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,62 AVENUE DE NICE,13120,GARDANNE,174,,,,False
18,ELEC-INNOV,883895518,88389551800016,07 83 19 41 98,ELECINNOV@OUTLOOK.FR, IRVE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,LIEU-DIT LA HUPPERIE,72220,ECOMMOY,176,,,,False
19,MONSIEUR CEDRIC BISTAGNE,752926790,75292679000037,06 99 41 54 71,ELECBISTAGNE@GMAIL.COM, IRVE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,85 BOULEVARD DES LIBERATEURS BAT B45,13011,MARSEILLE 11,181,,,,False
19,MAZET DAMIEN,802346726,80234672600010,06 23 92 02 70,MAZET.DAMIEN69@GMAIL.COM, IRVE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9 TER RUE PIERRE BROSSOLETTE,11100,NARBONNE,182,,,,False
19,ÉNERGIE ELEC,949757850,94975785000019,0699409088,energie-elec@hotmail.com, IRVE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15 RUE BARBARA,51110,WARMERIVILLE,183,,,,False
